"ID","Member_Country","Measure","Table","Value","Harvest_Sector","Year","Unit"
1,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",35,"Coastal commercial","2007","Tonnes"
2,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",42,"Coastal commercial","2014","Tonnes"
3,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",15,"Coastal commercial","2021","Tonnes"
4,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",120,"Coastal subsistence","2007","Tonnes"
5,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",120,"Coastal subsistence","2014","Tonnes"
6,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",100,"Coastal subsistence","2021","Tonnes"
7,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",6632,"Offshore Locally Based","2007","Tonnes"
8,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",2154,"Offshore Locally Based","2014","Tonnes"
9,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",994,"Offshore Locally Based","2021","Tonnes"
10,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2007","Tonnes"
11,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2014","Tonnes"
12,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2021","Tonnes"
13,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",1,"Freshwater","2007","Tonnes"
14,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",1,"Freshwater","2014","Tonnes"
15,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",1,"Freshwater","2021","Tonnes"
16,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",166000,"Coastal commercial","2007","US$"
17,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",244000,"Coastal commercial","2014","US$"
18,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",105000,"Coastal commercial","2021","US$"
19,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",478000,"Coastal subsistence","2007","US$"
20,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",487000,"Coastal subsistence","2014","US$"
21,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",490000,"Coastal subsistence","2021","US$"
22,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",14135083,"Offshore Locally Based","2007","US$"
23,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",5113395,"Offshore Locally Based","2014","US$"
24,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",3000000,"Offshore Locally Based","2021","US$"
25,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2007","US$"
26,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2014","US$"
27,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",0,"Offshore Foreign Based","2021","US$"
28,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",4000,"Freshwater","2007","US$"
29,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",4000,"Freshwater","2014","US$"
30,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",4900,"Freshwater","2021","US$"
31,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",10000,"Aquaculture","2007","US$"
32,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",44500,"Aquaculture","2014","US$"
33,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",49000,"Aquaculture","2021","US$"
34,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",9,"Aquaculture","2007","Tonnes"
35,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",9,"Aquaculture","2014","Tonnes"
36,"American_Samoa","Estimates by the Benefish studies of annual fisheries harvests","20-4",10,"Aquaculture","2021","Tonnes"
37,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",80,"Coastal commercial","1999","Tonnes"
38,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",133,"Coastal commercial","2007","Tonnes"
39,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",150,"Coastal commercial","2014","Tonnes"
40,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",150,"Coastal commercial","2021","Tonnes"
41,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",795,"Coastal subsistence","1999","Tonnes"
42,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",267,"Coastal subsistence","2007","Tonnes"
43,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",276,"Coastal subsistence","2014","Tonnes"
44,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",280,"Coastal subsistence","2021","Tonnes"
45,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",75,"Offshore Locally Based","1999","Tonnes"
46,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",3939,"Offshore Locally Based","2007","Tonnes"
47,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",194,"Offshore Locally Based","2014","Tonnes"
48,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",100,"Offshore Locally Based","2021","Tonnes"
49,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",300,"Offshore Foreign Based","1999","Tonnes"
50,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",0,"Offshore Foreign Based","2007","Tonnes"
51,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",20342,"Offshore Foreign Based","2014","Tonnes"
52,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",4621,"Offshore Foreign Based","2021","Tonnes"
53,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",5,"Freshwater","2007","Tonnes"
54,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",5,"Freshwater","2014","Tonnes"
55,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",5,"Freshwater","2021","Tonnes"
56,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",19500000,"Coastal commercial","1999","NZ$"
57,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",1400000,"Coastal commercial","2007","NZ$"
58,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",1700000,"Coastal commercial","2014","NZ$"
59,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",1600000,"Coastal commercial","2021","NZ$"
60,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",2200000,"Coastal subsistence","1999","NZ$"
61,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",1700000,"Coastal subsistence","2007","NZ$"
62,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",2000000,"Coastal subsistence","2014","NZ$"
63,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",2300000,"Coastal subsistence","2021","NZ$"
64,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",750000,"Offshore Locally Based","1999","NZ$"
65,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",7850000,"Offshore Locally Based","2007","NZ$"
66,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",2900000,"Offshore Locally Based","2014","NZ$"
67,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",2500000,"Offshore Locally Based","2021","NZ$"
68,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",770000,"Offshore Foreign Based","1999","NZ$"
69,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",0,"Offshore Foreign Based","2007","NZ$"
70,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",73156933,"Offshore Foreign Based","2014","NZ$"
71,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",15700000,"Offshore Foreign Based","2021","NZ$"
72,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",50000,"Freshwater","2007","NZ$"
73,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",37500,"Freshwater","2014","NZ$"
74,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",41000,"Freshwater","2021","NZ$"
75,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",3040000,"Aquaculture","2007","NZ$"
76,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",1095000,"Aquaculture","2014","NZ$"
77,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",330500,"Aquaculture","2021","NZ$"
78,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",3,"Aquaculture","2007","Tonnes"
79,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",12,"Aquaculture","2014","Tonnes"
80,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",190000,"Aquaculture","2007","Pieces"
81,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",52000,"Aquaculture","2014","Pieces"
82,"Cook_Islands","Estimates by the Benefish studies of annual fisheries harvests","6-4",81500,"Aquaculture","2021","Pieces"
83,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",5000,"Coastal commercial","1999","Tonnes"
84,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",2800,"Coastal commercial","2007","Tonnes"
85,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",1725,"Coastal commercial","2014","Tonnes"
86,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",1600,"Coastal commercial","2021","Tonnes"
87,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",5000,"Coastal subsistence","1999","Tonnes"
88,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",9800,"Coastal subsistence","2007","Tonnes"
89,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",3555,"Coastal subsistence","2014","Tonnes"
90,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",3400,"Coastal subsistence","2021","Tonnes"
91,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",2499,"Offshore Locally Based","1999","Tonnes"
92,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",16222,"Offshore Locally Based","2007","Tonnes"
93,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",40838,"Offshore Locally Based","2014","Tonnes"
94,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",153578,"Offshore Locally Based","2021","Tonnes"
95,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",127000,"Offshore Foreign Based","1999","Tonnes"
96,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",143315,"Offshore Foreign Based","2007","Tonnes"
97,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",124481,"Offshore Foreign Based","2014","Tonnes"
98,"Federated_States_of_Micronesia","Estimates by the Benefish studies of annual fisheries harvests","7-6",92899,"Offshore Foreign Based","2021","Tonnes"
